,name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
153085,오늘은횟집,음식,일식/수산물,Q03A01,횟집,부산광역시 금정구 금정로68번길 31-8,129.088320848138,35.2308197189098
153570,꼴통,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금정로91번길 15,129.08606313909598,35.2328680996753
597,김밥만두천국,음식,분식,Q04A02,국수/만두/칼국수,부산광역시 금정구 금강로335번길 38,129.08441683569998,35.2379395936536
652,소문난떡방,음식,제과제빵떡케익,Q08A03,떡전문,부산광역시 금정구 금강로 210,129.083206405612,35.227052760159296
724,이가식당,음식,양식,Q06A01,정통양식/경양식,부산광역시 동래구 금강로 112,129.079732773598,35.2185837732993
749,팡팡단란주점,음식,유흥주점,Q09A10,룸살롱/단란주점,부산광역시 동래구 금강로 144,129.080923119239,35.2213764460709
2002,홍콩브이아이피,음식,유흥주점,Q09A07,기타일반유흥주점,부산광역시 동래구 금강로124번길 25,129.081535863388,35.219541170011894
3285,새벽닭옛날통닭두실점,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금강로565번길 16,129.086752640011,35.258199612615
3507,부산레포츠분식점,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 금강로335번길 43,129.083984932254,35.2376820629284
3510,홍보석식당,음식,중식,Q02A00,중국음식/중국집,부산광역시 금정구 금강로 256-7,129.08547687247,35.230917366471296
3528,에이스2,음식,유흥주점,Q09A10,룸살롱/단란주점,부산광역시 동래구 금강로 83,129.07811311051,35.2165430577171
3672,유람선포장,음식,한식,Q01A01,한식/백반/한정식,부산광역시 동래구 금강로124번길 11,129.080670969277,35.219756211427296
3687,다미초밥,음식,일식/수산물,Q03A03,음식점-초밥전문,부산광역시 동래구 금강로 122,129.08028489786003,35.219633463804
3706,동경,음식,한식,Q01A01,한식/백반/한정식,부산광역시 동래구 금강로 156,129.081565535783,35.2226055998168
8591,양대감식당,음식,한식,Q01A01,한식/백반/한정식,부산광역시 동래구 금강로 132-6,129.080872962179,35.2200789053136
9578,문,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 금강로 165,129.081412624666,35.223499332670606
9751,다례원,음식,한식,Q01A01,한식/백반/한정식,부산광역시 동래구 금강로 101,129.079032395147,35.217950036974
9766,나베야,음식,일식/수산물,Q03A02,음식점-일식,부산광역시 금정구 금강로 247-12,129.084196694801,35.2304781503195
9864,미성왕만두,음식,분식,Q04A02,국수/만두/칼국수,부산광역시 동래구 금강로 113,129.079616976783,35.2189633861987
10104,춘자,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 금강로 276-8,129.085883422217,35.232572257111705
12834,우리식당,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금강로 701,129.088932623944,35.2700060394425
12989,종로빈대떡,음식,한식,Q01A13,파전전문,부산광역시 금정구 금강로 694,129.089474380457,35.2694242833959
13328,두존치킨,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금강로633번길 6,129.088118110562,35.264163453524
13390,피자1번가,음식,패스트푸드,Q07A01,피자전문,부산광역시 금정구 금강로647번길 19,129.087582640906,35.2652138616704
13480,프리츠프리츠,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금강로 247-7,129.08428169093798,35.230261057959105
13545,얼큰이손칼국수,음식,분식,Q04A02,국수/만두/칼국수,부산광역시 동래구 금강로 128,129.080477339482,35.2200644093385
13629,시골장터돼지국밥,음식,한식,Q01A05,해장국/감자탕,부산광역시 금정구 금강로415번길 6,129.088069357432,35.244892486824796
13657,하나로맛집,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금강로 208,129.083248304457,35.22689915064979
13775,남산밀면,음식,한식,Q01A05,해장국/감자탕,부산광역시 금정구 금강로 672,129.089292417558,35.26732572220121
14156,명주네집,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 금강로347번길 1,129.08627521991002,35.2388874031661
14945,샤방샤방,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금강로 332,129.086753211836,35.2376572383078
14991,도도한고로케,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 금강로 565,129.087506959198,35.257904395587104
15248,컵앤볼,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 금강로279번길 9,129.085100455926,35.2331741887393
15341,백년대게,음식,일식/수산물,Q03A10,바닷가재/게요리전문,부산광역시 동래구 금강로124번길 18,129.08110526301002,35.21937375375371
15658,교촌치킨,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금강로 678-1,129.089279366195,35.26799285597271
15788,경주포차,음식,유흥주점,Q09A02,소주방/포장마차,부산광역시 금정구 금강로 430,129.088940138323,35.245921237893704
16642,명품피자,음식,패스트푸드,Q07A01,피자전문,부산광역시 금정구 금강로335번길 24,129.085220081336,35.2380315457428
16692,소울메이트,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금강로 277,129.085404544016,35.2329100624317
17133,락원각,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 금강로321번길 51,129.083666676008,35.2368826861584
17449,원조장충왕족발,음식,한식,Q01A08,족발/보쌈전문,부산광역시 금정구 금강로 329-2,129.086355460124,35.237489547235704
18438,한양제일족발,음식,한식,Q01A08,족발/보쌈전문,부산광역시 금정구 금강로 175,129.081718743262,35.224217701989105
19599,깐풍집,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금강로279번길 28,129.08419520709802,35.2336690452915
20028,네번째갈비,음식,한식,Q01A02,갈비/삼겹살,부산광역시 금정구 금강로 565,129.087506959198,35.257904395587104
20595,뉴숯불바베큐,음식,양식,Q06A06,바베큐전문,부산광역시 금정구 금강로335번길 47,129.08374421602,35.2377563288229
21121,순,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금강로 334,129.08672157856898,35.2377566739096
21850,산들가는길,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 금강로 531,129.087598600181,35.254892978989204
21873,치킨퐁,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금강로335번길 55,129.083447853859,35.237777009683796
22160,새벽닭옛날통닭,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금강로 209,129.082790098314,35.227137608951004
22605,우닭닥,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 동래구 금강로61번길 43,129.075136209519,35.2156861765932
23335,수미엔,음식,중식,Q02A00,중국음식/중국집,부산광역시 금정구 금강로 432-1,129.089008466541,35.24610089835961
24267,남경족발,음식,한식,Q01A08,족발/보쌈전문,부산광역시 금정구 금강로 717,129.088788643111,35.271566710433895
25124,동원밀면냉면,음식,한식,Q01A19,냉면집,부산광역시 동래구 금강로 161,129.081286188799,35.2230768132279
25384,비바,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금강로 286,129.085874064162,35.2335187886856
25502,비예스치킨,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금강로 451-2,129.088581155199,35.247835385467404
26374,우리그리분식,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 금강로321번길 60,129.083262742441,35.2370755915112
26542,돈까스의집,음식,양식,Q06A02,돈가스전문점,부산광역시 동래구 금강로124번길 18,129.08110526301002,35.21937375375371
26596,전통식당,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 금강로 370-4,129.086620244208,35.240867336801
28517,21세기숯불양념치킨,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 금강로 217,129.081919910283,35.2286146388292
28535,행운,음식,유흥주점,Q09A10,룸살롱/단란주점,부산광역시 동래구 금강로 103,129.07915666337098,35.2182103299504
28567,소울메이트,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 금강로380번길 25,129.08730813616998,35.2430154504424
